wc,date_clean,coach_id,coach,brazil_score,opponent,opponent_score,win,loss,draw,result,venue,city,country,official,competition,wc_quali,wc_match,tenure_count,overall_count,wc_count
1994,23/09/1992,Parreira-94,Carlos Alberto Parreira,4,Costa Rica,2,1,0,0,W,Estádio Municipal Rubens Felippe,Paranavaí,Brasil,1,0,0,0,10,24,0
1994,25/11/1992,Parreira-94,Carlos Alberto Parreira,1,Uruguai,2,0,1,0,L,Estádio Ernâni Sátyro,Campina Grande,Brasil,1,0,0,0,11,25,0
1994,16/12/1992,Parreira-94,Carlos Alberto Parreira,3,Alemanha,1,1,0,0,W,Estádio Gigante Da Beira-Rio,Porto Alegre,Brasil,1,0,0,0,12,26,0
1994,18/02/1993,Parreira-94,Carlos Alberto Parreira,1,Argentina,1,0,0,1,D,Estádio Monumental de Nuñez,Buenos Aires,Argentina,1,1,0,0,13,27,0
1994,17/03/1993,Parreira-94,Carlos Alberto Parreira,2,Polônia,2,0,0,1,D,Estádio Santa Cruz,Ribeirão Preto,Brasil,1,0,0,0,14,28,0
1994,6/6/93,Parreira-94,Carlos Alberto Parreira,2,Estados Unidos,0,1,0,0,W,Estádio Yale Bowl,New Haven,Estados Unidos,1,1,0,0,15,29,0
1994,10/6/93,Parreira-94,Carlos Alberto Parreira,3,Alemanha,3,0,0,1,D,RFK Stadium,Washington,Estados Unidos,1,1,0,0,16,30,0
1994,13/06/1993,Parreira-94,Carlos Alberto Parreira,1,Inglaterra,1,0,0,1,D,RFK Stadium,Washington,Estados Unidos,1,1,0,0,17,31,0
1994,18/06/1993,Parreira-94,Carlos Alberto Parreira,0,Peru,0,0,0,1,D,Estádio Alejandro Serrano Aguilar,Cuenca,Equador,1,1,0,0,18,32,0
1994,21/06/1993,Parreira-94,Carlos Alberto Parreira,2,Chile,3,0,1,0,L,Estádio Alejandro Serrano Aguilar,Cuenca,Equador,1,1,0,0,19,33,0
1994,24/06/1993,Parreira-94,Carlos Alberto Parreira,3,Paraguai,0,1,0,0,W,Estádio Alejandro Serrano Aguilar,Cuenca,Equador,1,1,0,0,20,34,0
1994,27/06/1993,Parreira-94,Carlos Alberto Parreira,1,Argentina,1,0,0,1,D,Estádio Monumental Isidro Romero Carbo,Guayaquil,Equador,1,1,0,0,21,35,0
1994,14/07/1993,Parreira-94,Carlos Alberto Parreira,2,Paraguai,0,1,0,0,W,Estádio de São Januário,Rio de Janeiro,Brasil,1,0,0,0,22,36,0
1994,18/07/1993,Parreira-94,Carlos Alberto Parreira,0,Equador,0,0,0,1,D,Estádio Monumental Isidro Romero Carbo,Guayaquil,Equador,1,1,1,0,23,37,0
1994,25/07/1993,Parreira-94,Carlos Alberto Parreira,0,Bolívia,2,0,1,0,L,Estádio Hernando Siles,La Paz,Bolívia,1,1,1,0,24,38,0
1994,1/8/93,Parreira-94,Carlos Alberto Parreira,5,Venezuela,1,1,0,0,W,Estádio Nacional Polideportivo Pueblo Novo,San Cristóbal,Venezuela,1,1,1,0,25,39,0
1994,8/8/93,Parreira-94,Carlos Alberto Parreira,1,México,1,0,0,1,D,Estádio Rei Pelé,Maceió,Brasil,1,0,0,0,26,40,0
1994,15/08/1993,Parreira-94,Carlos Alberto Parreira,1,Uruguai,1,0,0,1,D,Estádio Centenario,Montevidéu,Uruguai,1,1,1,0,27,41,0
1994,22/08/1993,Parreira-94,Carlos Alberto Parreira,2,Equador,0,1,0,0,W,Estádio do Morumbi,São Paulo,Brasil,1,1,1,0,28,42,0
1994,29/08/1993,Parreira-94,Carlos Alberto Parreira,6,Bolívia,0,1,0,0,W,Estádio Colosso do Arruda,Recife,Brasil,1,1,1,0,29,43,0
1994,5/9/93,Parreira-94,Carlos Alberto Parreira,4,Venezuela,0,1,0,0,W,Estádio Mineirão,Belo Horizonte,Brasil,1,1,1,0,30,44,0
1994,19/09/1993,Parreira-94,Carlos Alberto Parreira,2,Uruguai,0,1,0,0,W,Estádio do Maracanã,Rio de Janeiro,Brasil,1,1,1,0,31,45,0
1994,17/11/1993,Parreira-94,Carlos Alberto Parreira,1,Alemanha,2,0,1,0,L,Mungersdorfer Stadion,Köln,Alemanha,1,0,0,0,32,46,0
1994,16/12/1993,Parreira-94,Carlos Alberto Parreira,1,México,0,1,0,0,W,Estádio Jalisco,Guadalajara,México,1,0,0,0,33,47,0
1994,23/03/1994,Parreira-94,Carlos Alberto Parreira,2,Argentina,0,1,0,0,W,Estádio Colosso do Arruda,Recife,Brasil,1,0,0,0,34,48,0
1994,20/04/1994,Parreira-94,Carlos Alberto Parreira,0,Paris Saint-Germain (FRA),0,0,0,1,D,Stade Parc des Princes,Paris,França,0,0,0,0,34,48,0
1994,4/5/94,Parreira-94,Carlos Alberto Parreira,3,Islândia,0,1,0,0,W,Estádio da Ressacada,Florianópolis,Brasil,1,0,0,0,35,49,0
1994,5/6/94,Parreira-94,Carlos Alberto Parreira,1,Canadá,1,0,0,1,D,Edmonton Commonwealth Stadium,Edmonton,Canadá,1,0,0,0,36,50,0
1994,8/6/94,Parreira-94,Carlos Alberto Parreira,8,Honduras,2,1,0,0,W,Estádio Jack Murphy,San Diego,Estados Unidos,1,0,0,0,37,51,0
1994,12/6/94,Parreira-94,Carlos Alberto Parreira,4,El Salvador,0,1,0,0,W,Bulldog Football Stadium,Fresno,Estados Unidos,1,0,0,0,38,52,0
1998,23/12/1994,Zagallo-98,Zagallo,2,Iugoslávia,0,1,0,0,W,Estádio Olímpico Monumental,Porto Alegre,Brasil,1,0,0,0,1,53,13
1998,22/02/1995,Zagallo-98,Zagallo,5,Eslováquia,0,1,0,0,W,Estádio Castelão,Fortaleza,Brasil,1,0,0,0,2,54,13
1998,29/03/1995,Zagallo-98,Zagallo,1,Honduras,1,0,0,1,D,Estádio Serra Dourada,Goiânia,Brasil,1,0,0,0,3,55,13
1998,27/04/1995,Zagallo-98,Zagallo,4,Valência (ESP),2,1,0,0,W,Estádio Luís Casanova,Valência,Espanha,0,0,0,0,3,55,13
1998,17/05/1995,Zagallo-98,Zagallo,2,Israel,1,1,0,0,W,Estádio Ramat Gan,Ramat Gan,Israel,1,0,0,0,4,56,13
1998,4/6/95,Zagallo-98,Zagallo,1,Suécia,0,1,0,0,W,Estádio Villa Park,Birmingham,Inglaterra,1,1,0,0,5,57,13
1998,6/6/95,Zagallo-98,Zagallo,3,Japão,0,1,0,0,W,Estádio Goodison Park,Liverpool,Inglaterra,1,1,0,0,6,58,13
1998,11/6/95,Zagallo-98,Zagallo,3,Inglaterra,1,1,0,0,W,Estádio Wembley,Londres,Inglaterra,1,1,0,0,7,59,13
1998,29/06/1995,Zagallo-98,Zagallo,2,Polônia,1,1,0,0,W,Estádio Colosso do Arruda,Recife,Brasil,1,1,0,0,8,60,13
1998,7/7/95,Zagallo-98,Zagallo,1,Equador,0,1,0,0,W,Estádio Atilio Paiva Oliveira,Rivera,Uruguai,1,1,0,0,9,61,13
1998,10/7/95,Zagallo-98,Zagallo,2,Peru,0,1,0,0,W,Estádio Atilio Paiva Oliveira,Rivera,Uruguai,1,1,0,0,10,62,13
1998,13/07/1995,Zagallo-98,Zagallo,3,Colômbia,0,1,0,0,W,Estádio Atilio Paiva Oliveira,Rivera,Uruguai,1,1,0,0,11,63,13
1998,17/07/1995,Zagallo-98,Zagallo,2,Argentina,2,0,0,1,D,Estádio Atilio Paiva Oliveira,Rivera,Uruguai,1,1,0,0,12,64,13
1998,20/07/1995,Zagallo-98,Zagallo,1,Estados Unidos,0,1,0,0,W,Estádio Domingo Burgueño,Maldonado,Uruguai,1,1,0,0,13,65,13
1998,23/07/1995,Zagallo-98,Zagallo,1,Uruguai,1,0,0,1,D,Estádio Centenario,Montevidéu,Uruguai,1,1,0,0,14,66,13
1998,9/8/95,Zagallo-98,Zagallo,5,Japão,1,1,0,0,W,Estádio National Olympic,Tóquio,Japão,1,0,0,0,15,67,13
1998,12/8/95,Zagallo-98,Zagallo,1,Coréia do Sul,0,1,0,0,W,Estádio Suwon Civic,Seul,Coréia do Sul,1,0,0,0,16,68,13
1998,27/09/1995,Zagallo-98,Zagallo,2,Romênia,2,0,0,1,D,Estádio Mineirão,Belo Horizonte,Brasil,1,0,0,0,17,69,13
