player_id,wc,jersey_nb,player,captain,position,DOB,age,exp,club,country,league_division,nat_championship,nat_top5,cont_championship,goals_scored,games_played,share_games_played
Roberto Carlos-02,2002,6,Roberto Carlos,0,D,10-Apr-73,29,89,Real Madrid,Spain,1,0,1,1,1,8,0.571428571
J. Paulista-02,2002,19,J. Paulista,0,MC,22-Feb-73,29,48,Flamengo,Brazil,1,0,0,0,2,9,0.642857143
Rogério Ceni-02,2002,22,Rogério Ceni,0,G,22-Jan-73,29,14,São Paulo,Brazil,1,0,0,0,0,0,0
Ronaldo-06,2006,9,Ronaldo,0,A,22-Sep-76,29,99,Real Madrid,Spain,1,0,1,0,5,6,0.666666667
Cris-06,2006,15,Cris,0,D,3-Jun-77,29,17,Lyon,France,1,1,1,0,0,1,0.111111111
G. Silva-06,2006,17,G. Silva,0,MC,7-Oct-76,29,40,Arsenal,England,1,0,1,0,0,7,0.777777778
Luís Fabiano-10,2010,9,Luís Fabiano,0,A,8-Nov-80,29,38,Sevilla,Spain,1,0,1,0,3,7,0.7
Gomes-10,2010,12,Gomes,0,G,15-Feb-81,29,11,Tottenham,England,1,0,1,0,0,2,0.2
Luisão-10,2010,14,Luisão,0,D,13-Feb-81,29,45,Benfica,Portugal,1,1,1,0,0,8,0.8
Thiago Silva-14,2014,3,Thiago Silva,1,D,22-Sep-84,29,46,Paris Saint-Germain,France,1,1,1,0,1,6,0.6
Fernandinho-14,2014,5,Fernandinho,0,MC,4-May-85,29,7,Manchester City,England,1,1,1,0,1,2,0.2
Hernanes-14,2014,18,Hernanes,0,MC,29-May-85,29,24,Internazionale,Italy,1,0,1,0,0,7,0.7
Paulinho-18,2018,16,Paulinho,15,MC,25-Jul-88,29,48,Barcelona,Spain,1,1,1,0,3,9,0.9
Willian-18,2018,18,Willian,19,MC,9-Aug-88,29,55,Chelsea,England,1,0,1,0,1,10,1
Taffarel-94,1994,1,Taffarel,0,G,8-May-66,28,65,Reggiana,Italy,1,0,0,0,0,9,0.6
Ronaldão-94,1994,4,Ronaldão,0,D,19-Jun-65,28,9,Shimizu S-Pulse,Japan,1,0,1,0,0,1,0.066666667
Romário-94,1994,11,Romário,0,A,29-Jan-66,28,34,Barcelona,Spain,1,1,1,0,7,4,0.266666667
Aldair-94,1994,13,Aldair,0,D,30-Nov-65,28,23,Roma,Italy,1,0,0,0,0,3,0.2
Mazinho-94,1994,17,Mazinho,0,MC,8-Apr-66,28,33,Palmeiras,Brazil,1,1,1,0,0,4,0.266666667
Müller-94,1994,19,Müller,0,A,31-Jan-66,28,56,São Paulo,Brazil,1,0,1,1,1,9,0.6
Cafu-98,1998,2,Cafu,0,D,7-Jun-70,28,69,Roma,Italy,1,0,1,0,1,12,0.6
Júnior Baiano-98,1998,4,Júnior Baiano,0,D,14-Mar-70,28,18,Flamengo,Brazil,1,0,1,0,2,18,0.9
Leonardo-98,1998,18,Leonardo,0,MC,5-Sep-69,28,49,Milan,Italy,1,0,0,0,0,8,0.4
Marcos-02,2002,1,Marcos,0,G,4-Aug-73,28,17,Palmeiras,Brazil,1,0,0,0,0,11,0.785714286
Dida-02,2002,12,Dida,0,G,7-Oct-73,28,54,Corinthians,Brazil,1,0,0,0,0,4,0.285714286
Júnior-02,2002,16,Júnior,0,D,20-Jun-73,28,14,Parma,Italy,1,0,0,0,0,11,0.785714286
Vampeta-02,2002,18,Vampeta,0,MC,13-Mar-74,28,39,Corinthians,Brazil,1,0,0,0,0,8,0.571428571
Lúcio-06,2006,3,Lúcio,0,D,8-May-78,28,52,Bayern Munich,Germany,1,1,1,0,2,8,0.888888889
Maicon-10,2010,2,Maicon,0,D,26-Jul-81,28,59,Internazionale,Italy,1,1,1,1,0,10,1
Elano-10,2010,7,Elano,0,MC,14-Jun-81,28,44,Galatasaray,Turkey,1,0,1,0,1,9,0.9
Kaka-10,2010,10,Kaká,0,MC,22-Apr-82,28,81,Real Madrid,Spain,1,0,1,0,1,8,0.8
Júlio Baptista-10,2010,19,Júlio Baptista,0,MC,1-Oct-81,28,49,Roma,Italy,1,0,1,0,1,5,0.5
Fágner-18,2018,5,Fágner,22,D,11-Jun-89,28,4,Corinthians,Brazil,1,1,1,0,0,1,0.1
